Gender,Age,The production had good video quality,The production employs good use of overlays and transitions,The duration of this video was appropriate,The pacing of the video was appropriate and able to capture the attention of the audience,"After watching the video, I am aware of how the athletes cope with their mental health","After watching this video, I can identify the different methods of relieving stress for athletes","After watching this video, I know how to use sports as a means of coping stress","After watching this video, I have an appreciation of the role of time management in athletes mental health","After watching this video, I will attend courses on mindfulness and/or time management to better manage the stress of coping with the demands of sports and health",What are some suggestions for improvement of this video?
Female,41 - 50 years old,5,5,5,5,5,"By playing sports it helps me relief my stress;By doing other activities to keep ourselves occupied, example like reading, watching movies",5,5,5,well done! 
Male,41 - 50 years old,4,4,3,4,5,"By playing sports it helps me relief my stress;By doing other activities to keep ourselves occupied, example like reading, watching movies",4,5,3,Add in subtitles.
Female,Below 41 years old,4,4,5,4,5,By playing sports it helps me relief my stress,4,5,4,"Seek athletes opinion towards mental health towards sports, how they feel on the importance of mental health in athletes and how it affects them"
Male,Below 41 years old,5,5,5,5,5,"By playing sports it helps me relief my stress;By doing other activities to keep ourselves occupied, example like reading, watching movies",5,5,2,adding background music and text on screen to make it more attractive 
Male,Below 41 years old,4,4,5,4,4,"By playing sports it helps me relief my stress;By doing other activities to keep ourselves occupied, example like reading, watching movies",4,4,4,-
Female,Below 41 years old,4,5,5,5,5,"By playing sports it helps me relief my stress;By doing other activities to keep ourselves occupied, example like reading, watching movies",5,4,4,Nil
Female,Below 41 years old,4,5,5,4,5,"By playing sports it helps me relief my stress;By doing other activities to keep ourselves occupied, example like reading, watching movies",5,5,4,-
Male,Below 41 years old,5,5,5,5,5,"By playing sports it helps me relief my stress;By doing other activities to keep ourselves occupied, example like reading, watching movies",5,5,5,Nil
Female,Below 41 years old,5,4,4,4,5,"By playing sports it helps me relief my stress;By doing other activities to keep ourselves occupied, example like reading, watching movies",4,4,4,"displaying the questions on screen instead of saying it out for the audience to absorb and comprehend the questions. this also allows a quick change of scene for the audience instead of having the interviewee on screen continuously. other than that, it is a great educational video👍🏽"
Male,Below 41 years old,4,3,3,3,4,"By playing sports it helps me relief my stress;By doing other activities to keep ourselves occupied, example like reading, watching movies",4,4,4,NIL
Male,Below 41 years old,4,4,4,4,5,"By playing sports it helps me relief my stress;By doing other activities to keep ourselves occupied, example like reading, watching movies",5,5,5,Nil
Female,Below 41 years old,5,5,5,5,5,"By playing sports it helps me relief my stress;By doing other activities to keep ourselves occupied, example like reading, watching movies",5,5,5,nil
Male,50 - 60 years old,4,4,5,4,4,"By playing sports it helps me relief my stress;By doing other activities to keep ourselves occupied, example like reading, watching movies",4,4,4,Surprise email was require
Male,41 - 50 years old,5,5,5,5,5,"By playing sports it helps me relief my stress;By doing other activities to keep ourselves occupied, example like reading, watching movies;Sasha Priya helps to relieve stress by being the joker she is too",5,5,5,Nothing to improve its perfecto
Male,Below 41 years old,4,4,4,4,5,By playing sports it helps me relief my stress,4,4,4,Nil
Female,Below 41 years old,4,4,5,4,5,"By playing sports it helps me relief my stress;By doing other activities to keep ourselves occupied, example like reading, watching movies",5,5,4,Nil 
Female,Below 41 years old,5,5,5,5,5,"By playing sports it helps me relief my stress;By doing other activities to keep ourselves occupied, example like reading, watching movies",5,5,5,NIL 
Male,Below 41 years old,5,5,4,4,3,"By playing sports it helps me relief my stress;By doing other activities to keep ourselves occupied, example like reading, watching movies",5,5,5,NIL
Male,Below 41 years old,5,5,5,5,5,By playing sports it helps me relief my stress,5,5,5,Nil 
